Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Essentials of Classic Italian Cooking,,,,,Marcella Hazan,"Hazan, Marcella",,,,,,Knopf Doubleday Publishing Group,,2010/09/01,2010,,,,Cooking,"Almost twenty years ago, with the publication of The Classic Italian Cook Book, followed by More Classic Italian Cooking, Marcella Hazan introduced Americans to a whole new world of Italian food. As Roy Andries de Groot wrote, ""Marcella's book is the most authentic guide to Italian food ever written in the U.S. Where other authors failed, Marcella has brilliantly succeeded in capturing (and conveying to the reader on every page) the feel, the aromatic scent, the subtle nuances of fresh country flavors and, above all, the easy uncomplication of Italian food prepared in the Italian style.""  Now a new generation is ready to master the art of Italian cooking, and their bible will be Essentials of Classic Italian Cooking--this new volume that combines the two books, updates and expanded throughout. Designed as a basic manual for cooks on every level--from beginners to accomplished professionals--it offers both an accessible and comprehensive guide to techniques and ingredients and a collection of the most delicious recipes from the Italian repertoire.",,,,,,,,,,,704,,,,,,English,,,,,,9780307597953,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 00:55:20.574985980,,,,,,,8L3MmAEACAAJ,D,0,,
Even Faster Web Sites,,Performance Best Practices for Web Developers,,,Steve Souders,"Souders, Steve",,,,,,O'Reilly Media,,2009/06/11,2009,,,,Computers,"Performance is critical to the success of any web site, and yet today's web applications push browsers to their limits with increasing amounts of rich content and heavy use of Ajax. In this book, Steve Souders, web performance evangelist at Google and former Chief Performance Yahoo!, provides valuable techniques to help you optimize your site's performance.  Souders' previous book, the bestselling High Performance Web Sites, shocked the web development world by revealing that 80% of the time it takes for a web page to load is on the client side. In Even Faster Web Sites, Souders and eight expert contributors provide best practices and pragmatic advice for improving your site's performance in three critical categories: JavaScript-Get advice for understanding Ajax performance, writing efficient JavaScript, creating responsive applications, loading scripts without blocking other components, and more. Network-Learn to share resources across multiple domains, reduce image size without loss of quality, and use chunked encoding to render pages faster. Browser-Discover alternatives to iframes, how to simplify CSS selectors, and other techniques.  Speed is essential for today's rich media web sites and Web 2.0 applications. With this book, you'll learn how to shave precious seconds off your sites' load times and make them respond even faster.  This book contains six guest chapters contributed by Dion Almaer, Doug Crockford, Ben Galbraith, Tony Gentilcore, Dylan Schiemann, Stoyan Stefanov, Nicole Sullivan, and Nicholas C. Zakas.",,,,,,,,,,,231,,,,,,English,,,,,,9780596522308,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/07 23:47:25.394616007,,,,,,,LUObAgAAQBAJ,C,0,,
Everybody Writes,,Your Go-To Guide to Creating Ridiculously Good Content,,,Ann Handley,"Handley, Ann",,,,,,John Wiley & Sons,,2014/09/15,2014,,,,Business & Economics,"Finally a go-to guide to creating and publishing the kind of content that will make your business thrive. Everybody Writes is a go-to guide to attracting and retaining customers through stellar online communication, because in our content-driven world, every one of us is, in fact, a writer. If you have a web site, you are a publisher. If you are on social media, you are in marketing. And that means that we are all relying on our words to carry our marketing messages. We are all writers. Yeah, but who cares about writing anymore? In a time-challenged world dominated by short and snappy, by click-bait headlines and Twitter streams and Instagram feeds and gifs and video and Snapchat and YOLO and LOL and #tbt. . . does the idea of focusing on writing seem pedantic and ordinary? Actually, writing matters more now, not less. Our online words are our currency; they tell our customers who we are. Our writing can make us look smart or it can make us look stupid. It can make us seem fun, or warm, or competent, or trustworthy. But it can also make us seem humdrum or discombobulated or flat-out boring. That means you've got to choose words well, and write with economy and the style and honest empathy for your customers. And it means you put a new value on an often-overlooked skill in content marketing: How to write, and how to tell a true story really, really well. That's true whether you're writing a listicle or the words on a Slideshare deck or the words you're reading right here, right now... And so being able to communicate well in writing isn't just nice; it's necessity. And it's also the oft-overlooked cornerstone of nearly all our content marketing. In Everybody Writes, top marketing veteran Ann Handley gives expert guidance and insight into the process and strategy of content creation, production and publishing, with actionable how-to advice designed to get results. These lessons and rules apply across all of your online assets — like web pages, home page, landing pages, blogs, email, marketing offers, and on Facebook, Twitter, LinkedIn, and other social media. Ann deconstructs the strategy and delivers a practical approach to create ridiculously compelling and competent content. It's designed to be the go-to guide for anyone creating or publishing any kind of online content — whether you're a big brand or you're small and solo. Sections include:  How to write better. (Or, for ""adult-onset writers"": How to hate writing less.) Easy grammar and usage rules tailored for business in a fun, memorable way. (Enough to keep you looking sharp, but not too much to overwhelm you.) Giving your audience the gift of your true story, told well. Empathy and humanity and inspiration are key here, so the book covers that, too. Best practices for creating credible, trustworthy content steeped in some time-honored rules of solid journalism. Because publishing content and talking directly to your customers is, at its heart, a privilege. ""Things Marketers Write"": The fundamentals of 17 specific kinds of content that marketers are often tasked with crafting. Content Tools: The sharpest tools you need to get the job done.  Traditional marketing techniques are no longer enough. Everybody Writes is a field guide for the smartest businesses who know that great content is the key to thriving in this digital world.",,,,,,,,,,,320,,,,,,English,,,,,,9781118905555,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 16:46:57.560428977,,,,,,,QGtECQAAQBAJ,G,0,,
Experiences in Visual Thinking,,,,,Robert H. McKim,"McKim, Robert H.",,,,,,Brooks/Cole Publishing Company,,1980/01/01,1980,,,,Psychology,"An experiential approach to the development of new thinking skills investigates the kinds of visual images that are the primary vehicles of visual thinking, materials, and environmental conditions conductive to visual thinking, and the significance of ide",,,,,,,,,,,183,,,,,,English,,,,,,9780818504112,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 11:09:31.030192971,,,,,,,rU4gAQAAIAAJ,Y,0,,
Expert C Programming,,Deep C Secrets,,,Peter Van der Linden,"Linden, Peter Van der",,,,,,Prentice Hall Professional,,,1994,,,,Computers,"For software engineers and computer programmers who are writing, developing, testing, debugging software on either IBM PCs or Unix systems. Written for experienced C programmers who want to quickly pick up some of the insights and techniques of experts and master the fine arts of ANSI C, this volume passes on the wisdom of a highly experienced C compiler writer and his colleagues to help programmers reach new heights, and avoid common software pitfalls along the way. Using an original approach and a humorous style that makes deep knowledge both easy and accessible, it gathers into one place, tips, hints, shortcuts, guidelines, ideas, idioms, heuristics, tools, anecdotes, C folklore, and techniques that are often penciled in margins and on backs of papers by those working in the programming trenches - working on many different kinds of projects, over many, many years.",,,,,,,,,,,353,,,,,,English,,,,,,9780131774292,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 10:30:12.769490003,,,,,,,9f9uAQAAQBAJ,U,0,,
Extreme Ownership,,How U.S. Navy SEALs Lead and Win,,,"Jocko Willink, Leif Babin","Willink, Jocko",,,,,,St. Martin's Publishing Group,,2015/10/20,2015,,,,Biography & Autobiography,"The #1 New York Times bestsellerSent to the most violent battlefield in Iraq, Jocko Willink and Leif Babin’s SEAL task unit faced a seemingly impossible mission: help U.S. forces secure Ramadi, a city deemed “all but lost.” In gripping firsthand accounts of heroism, tragic loss, and hard-won victories in SEAL Team Three’s Task Unit Bruiser, they learned that leadership—at every level—is the most important factor in whether a team succeeds or fails.Willink and Babin returned home from deployment and instituted SEAL leadership training that helped forge the next generation of SEAL leaders. After departing the SEAL Teams, they launched Echelon Front, a company that teaches these same leadership principles to businesses and organizations. From promising startups to Fortune 500 companies, Babin and Willink have helped scores of clients across a broad range of industries build their own high-performance teams and dominate their battlefields.Now, detailing the mind-set and principles that enable SEAL units to accomplish the most difficult missions in combat, Extreme Ownership shows how to apply them to any team, family or organization. Each chapter focuses on a specific topic such as Cover and Move, Decentralized Command, and Leading Up the Chain, explaining what they are, why they are important, and how to implement them in any leadership environment.A compelling narrative with powerful instruction and direct application, Extreme Ownership revolutionizes business management and challenges leaders everywhere to fulfill their ultimate purpose: lead and win.",,,,,,,,,,,298,,,,,,English,,,,,,9781250067050,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 10:01:49.950642943,,,,,,,ywaJCgAAQBAJ,R,0,,
Farnsworth's Classical English Metaphor,,,,,Ward Farnsworth,"Farnsworth, Ward",,,,,,David R. Godine,,,2016,,,,Language Arts & Disciplines,"A metaphor compares two things that seem unalike. Lincoln was a master of the art (A house divided against itself cannot stand). So were Jefferson (The tree of liberty must be refreshed from time to time with the blood of patriots and tyrants) and Shakespeare (All the world’s a stage/And all the men and women merely players). Farnsworth’s book is the finest collection of such figurative comparisons ever assembled. It offers an original analysis of patterns in the sources and uses of metaphor. It also explains the different stylistic ways that comparisons can be written, and with what effects. The book starts by dividing the sources of metaphor into families, including nature, architecture, animals, and myth. It then shows how the best writers have put each of those traditions to distinctive use-for the sake of caricature, to make an abstract idea visible, to make a complicated idea simple. The book provides, along the way, an extraordinarily wide-ranging tour of examples from novelists, playwrights, philosophers, and orators. There is interest, instruction, and amusement to be found on every page.",,,,,,,,,,,243,,,,,,English,,,,,,9781567925487,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 10:24:31.725280046,,,,,,,ZsF1rgEACAAJ,T,0,,
Farnsworth's classical English rhetoric,,,,,Ward Farnsworth,"Farnsworth, Ward",,,,,,"David R. Godine, Publisher",,,2011,,,,,,,,,,,,,,,,253,,,,,,,,,,,,9781567925524,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 10:30:12.615594029,,,,,,,,U,0,http://images.amazon.com/images/P/1567925529.01Z.jpg,
Fear and Loathing,,On the Campaign Trail '72,,,Hunter S. Thompson,"Thompson, Hunter S.",,,,,,Straight Arrow Books,,,1973,,,,Political Science,,,,,,,,,,,,506,,,,,,English,,,,,,9780879320539,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 18:29:33.457034945,,,,,,,jip5AAAAMAAJ,J,0,,
Fear And Loathing In America,,The Brutal Odyssey of an Outlaw Journalist,,,Hunter S. Thompson,"Thompson, Hunter S.",,,,,,Simon and Schuster,,2000/12/13,2000,,,,Biography & Autobiography,"Brazen, incisive, and outrageous as ever, Hunter S. Thompson is back with another astonishing volume of his private correspondence, the highly anticipated follow-up to The Proud Highway. When that first book of letters appeared in 1997, Time pronounced it ""deliriously entertaining""; Rolling Stone called it ""brilliant beyond description""; and The New York Times celebrated its ""wicked humor and bracing political conviction.""Spanning the years between 1968 and 1976, these never-before-published letters show Thompson building his legend: running for sheriff in Aspen, Colorado; creating the seminal road book Fear and Loathing in Las Vegas; twisting political reporting to new heights for Rolling Stone; and making sense of it all in the landmark Fear and Loathing: On the Campaign Trail '72. To read Thompson's dispatches from these years -- addressed to the author's friends, enemies, editors, and creditors, and such notables as Jimmy Carter, Tom Wolfe, and Kurt Vonnegut -- is to read a raw, revolutionary eyewitness account of one of the most exciting and pivotal eras in American history.Provocative and revealing, Fear and Loathing in America cements Hunter S. Thompson's reputation as one of the great literary and cultural icons of our time -- the only man alive to have ridden with both the Hell's Angels and Richard Nixon.",,,,,,,,,,,756,,,,,,English,,,,,,9780684873152,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 18:29:33.453562021,,,,,,,R34syw0vpZ4C,J,0,,
Fear and Loathing in Las Vegas,,A Savage Journey to the Heart of the American Dream,,,Hunter S. Thompson,"Thompson, Hunter S.",,,,,,Vintage Books,,,1998,,,,Biography & Autobiography,"Fear and Loathing in Las Vegas is the best chronicle of drug-soaked, addle-brained, rollicking good times ever committed to the printed page. It is also the tale of a long weekend road trip that has gone down in the annals of American pop culture as one of the strangest journeys ever undertaken. Now this cult classic of gonzo journalism is a major motion picture from Universal, directed by Terry Gilliam and starring Johnny Depp and Benicio del Toro. Opens everywhere on May 22, 1998.",,,,,,,,,,,204,,,,,,English,,,,,,9780679785897,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 16:46:57.632926940,,,,,,,VN-JDQAAQBAJ,G,0,,
Fermat's Enigma,,The Epic Quest to Solve the World's Greatest Mathematical Problem,,,Simon Singh,"Singh, Simon",,,,,,Paw Prints,,2009/04/08,2009,,,,Mathematics,"A national best-seller traces the quest of scientists around the world to solve the theorem devised by seventeenth-century French mathematician Pierre de Fermat, a story of extraordinary human emotion, ambition, and desperation. Reprint.",,,,,,,,,,,336,,,,,,English,,,,,,9781442006898,0,0.000000,,Unread,,,,,,,,0,,,,,,A,,,,,uaOQPwAACAAJ,A,0,,
Fifteen Dogs,,An Apologue,,,André Alexis,"Alexis, André",,,,,,Coach House Books,,,2015,,,,Fiction,"An utterly convincing and moving look at the beauty and perils of consciousness. WINNER OF THE 2015 ROGERS WRITERS'' TRUST FICTION PRIZE SHORTLISTED FOR THE 2015 GILLER PRIZE FINALIST FOR THE 2015 TORONTO BOOK AWARDS  âe"" I wonder, said Hermes, what it would be like if animals had human intelligence. âe"" I''ll wager a year''s servitude, answered Apollo, that animals âe"" any animal you like âe"" would be even more unhappy than humans are, if they were given human intelligence. And so it begins: a bet between the gods Hermes and Apollo leads them to grant human consciousness and language to a group of dogs overnighting at a Toronto veterinary clinic. Suddenly capable of more complex thought, the pack is torn between those who resist the new ways of thinking, preferring the old''dog'' ways, and those who embrace the change. The gods watch from above as the dogs venture into their newly unfamiliar world, as they become divided among themselves, as each struggles with new thoughts and feelings. Wily Benjy moves from home to home, Prince becomes a poet, and Majnoun forges a relationship with a kind couple that stops even the Fates in their tracks. AndrÃ© Alexis''s contemporary take on the apologue offers an utterly compelling and affecting look at the beauty and perils of human consciousness. By turns meditative and devastating, charming and strange, Fifteen Dogs shows you can teach an old genre new tricks. Fetching praise for Fifteen Dogs: ''[Alexis] devises an inventive romp through the nature of humanity in this beautiful, entertaining read âe¦ A clever exploration of our essence, communication, and how our societies are organized.''âe"" Kirkus Reviews ''Alexis manages to encapsulate an astonishing range of metaphysical questions in a simple tale about dogs that came to know too much. The result is a delightful juxtaposition of the human and canine conditions, and a narrative that, like just one of the dogs, delights in the twists and turns of the gods'' linguistic gift.'' âe"" Publishers Weekly (starred review) ''Fifteen Dogs is an original and vital work written by a master craftsman: philosophy given a perfect form.'' âe"" from the 2015 Rogers Writers'' Trust Fiction Prize jury citation ''Truly a privilege to read.'' âe"" Wordfest Reviews ''Alexis takes up notions of language and consciousness on a fundamental level, and what it means to have both or one without the other.'' âe"" Full Stop  ''Over the course of this novel, slim yet epic in scope, Alexis chronicles the fates of these strangely afflicted beasts, shifting from thought experiment to comic parable to something more delicate, laden with detail, discovery and emotional nuance.'' âe"" The Globe & Mail ''A remarkable book. Insightful, wildly original and beautiful. Buy it.'' âe"" Mark Medley, Books Editor at The Globe & Mail ''Alexisâe(tm)s technical skills are extraordinary. His characters are diverse and expertly differentiated, and his sentence crafting is brilliant. ... Iâe(tm)m not ashamed to say that I cried at the end.'' âe"" LitReactor.com ''A clever and beguiling study of human nature through the eyes of dogs.'' âe"" Largehearted Boy ''A nimble rumination on consciousness, language, love, and art.'' âe"" Albert the Dog The 2015 Rogers Writers'' Trust Fiction Prize jury citation: ''In Fifteen Dogs âe"" AndrÃ© Alexisâe(tm) powerful apologue âe"" questions of knowledge and happiness, fidelity and fate are grounded in the real-world adventures of a group of dogs. Here is a beautifully written allegory for our times: one in which manâe(tm)s best friend shows us the benefits of higher consciousness âe"" the favoured bone of fact buried where we might all find it. Fifteen Dogs is an original and vital work written by a master craftsman: philosophy given a perfect form.'' The 2015 Giller Shortlist citation: ''What does it mean to be alive? To think, to feel, to love and to envy? AndrÃ© Alexis explores all of this and more in the extraordinary Fifteen Dogs, an insightful and philosophical meditation on the nature of consciousness. Itâe(tm)s a novel filled with balancing acts: humour juxtaposed with savagery, solitude with the desperate need to be part of a pack, perceptive prose interspersed with playful poetry. A wonderful and original piece of writing that challenges the reader to examine their own existence and recall the age old question, whatâe(tm)s the meaning of life?''",,,,,,,,,,,171,,,,,,English,,,,,,9781552453056,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 10:24:31.864380955,,,,,,,vaPuoQEACAAJ,T,0,,
Fifty Challenging Problems in Probability with Solutions,,,,,Frederick Mosteller,"Mosteller, Frederick",,,,,,Courier Corporation,,1987/01/01,1987,,,,Mathematics,"Remarkable selection of puzzlers, graded in difficulty, that illustrate both elementary and advanced aspects of probability. Selected for originality, general interest, or because they demonstrate valuable techniques, the problems are ideal as a supplement to courses in probability or statistics, or as stimulating recreation for the mathematically minded. Detailed solutions. Illustrated.",,,,,,,,,,,88,,,,,,English,,,,,,9780486653556,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/07 21:01:52.927080988,,,,,,,sQr5AAAAQBAJ,B,0,,
Fight Club: A Novel,,,,,Chuck Palahniuk,"Palahniuk, Chuck",,,,,,W. W. Norton & Company,,2005/10/17,2005,,,,Fiction,"The first rule about fight club is you don't talk about fight club. In his debut novel, Chuck Palahniuk showed himself to be his generation's most visionary satirist. Fight Club's estranged narrator leaves his lackluster job when he comes under the thrall of Tyler Durden, an enigmatic young man who holds secret boxing matches in the basement of bars. There two men fight ""as long as they have to."" A gloriously original work that exposes what is at the core of our modern world.",,,,,,,,,,,218,,,,,,English,,,,,,9780393327342,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 22:23:13.395164966,,,,,,,SzfvHXu_5t8C,M,0,,
Figures of Speech,,60 Ways to Turn a Phrase,,,Arthur Quinn,"Quinn, Arthur",,,,,,Smith,,,1993,,,,Figures of speech,,,,,,,,,,,,103,,,,,,English,,,,,,9780879051211,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 01:25:46.329918026,,,,,,,34TOxwEACAAJ,O,0,https://covers.openlibrary.org/b/id/8006767-L.jpg,
Finding Flow,,The Psychology Of Engagement With Everyday Life,,,Mihaly Csikszentmihalyi,"Csikszentmihalyi, Mihaly",,,,,,Basic Books,,1998/04/06,1998,,,,Self-Help,"From one of the pioneers of the scientific study of happiness, an indispensable guide to living your best life.What makes a good life? Is it money? An important job? Leisure time? Mihaly Csikszentmihalyi believes our obsessive focus on such measures has led us astray. Work fills our days with anxiety and pressure, so that during our free time, we tend to live in boredom, watching TV or absorbed by our phones.What are we missing? To answer this question, Csikszentmihalyi studied thousands of people, and he found the key. People are happiest when they challenge themselves with tasks that demand a high degree of skill and commitment, and which are undertaken for their own sake. Instead of watching television, play the piano. Take a routine chore and figure out how to do it better, faster, more efficiently. In short, learn the hidden power of complete engagement, a psychological state the author calls flow. Though they appear simple, the lessons in Finding Flow are life-changing.",,,,,,,,,,,192,,,,,,English,,,,,,9780465024117,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 19:40:08.752730965,,,,,,,BCkWHZUqWg4C,K,0,,
Finite and Infinite Games,,,,,James Carse,"Carse, James",,,,,,Free Press,,2013/01/05,2013,,,,Philosophy,"“There are at least two kinds of games,” states James P. Carse as he begins this extraordinary book. “One could be called finite; the other infinite.” Finite games are the familiar contests of everyday life; they are played in order to be won, which is when they end. But infinite games are more mysterious. Their object is not winning, but ensuring the continuation of play. The rules may change, the boundaries may change, even the participants may change—as long as the game is never allowed to come to an end. What are infinite games? How do they affect the ways we play our finite games? What are we doing when we play—finitely or infinitely? And how can infinite games affect the ways in which we live our lives? Carse explores these questions with stunning elegance, teasing out of his distinctions a universe of observation and insight, noting where and why and how we play, finitely and infinitely. He surveys our world—from the finite games of the playing field and playing board to the infinite games found in culture and religion—leaving all we think we know illuminated and transformed. Along the way, Carse finds new ways of understanding everything, from how an actress portrays a role to how we engage in sex, from the nature of evil to the nature of science. Finite games, he shows, may offer wealth and status, power and glory, but infinite games offer something far more subtle and far grander. Carse has written a book rich in insight and aphorism. Already an international literary event, Finite and Infinite Games is certain to be argued about and celebrated for years to come. Reading it is the first step in learning to play the infinite game.",,,,,,,,,,,160,,,,,,English,,,,,,9781476731711,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 09:31:29.292202949,,,,,,,s_pxNAEACAAJ,Q,0,,
First Impressions,,What You Don't Know about how Others See You,,,"Ann Demarais, Valerie White","Demarais, Ann",,,,,,Bantam Books,,,2005,,,,Language Arts & Disciplines,"What kind of first impression do you make? A first impression is the most important impression you'll ever make—and you get only one chance to make it. Business deals can be made or broken, first dates become second dates or not, friendships are created or fail to form; everything hinges on that all-important initial encounter. And yet most of us don't know how we're really seen by others. Many of us don't know how to make a good impression.Wouldn't you like others to see you as confident, interesting, attractive, and sincere? Ann Demarais, Ph.D., and Valerie White, Ph.D., consultants to many Fortune 100 companies as well as creators of First Impressions, Inc., a New York–based dating and consulting firm, offer you the keys to putting your best self forward in any new situation, whether you want to strike up a conversation at a party or are meeting a blind date or a new business client.  You'll learn to see yourself as others see you, and how to tweak your style to create the impression that reflects the real you. Breaking down a successful first impression into its seven fundamentals, the authors show you how to master these principles so that you can make the best first impression. They also show how to avoid common misunderstandings that leave others with a bad impression, how to reveal the four universal social gifts, and they outline practical steps you can take to enhance your personal charm. Informative and filled with enlightening research studies, do-it-yourself checklist reviews, and dozens of helpful case histories, First Impressions is a fun, groundbreaking, and long-overdue guide to the most important moment of virtually any relationship: the first.From the Hardcover edition.",,,,,,,,,,,237,,,,,,English,,,,,,9780553382013,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 01:38:31.210294961,,,,,,,znJamAEACAAJ,O,0,,
Flatland,,A Romance of Many Dimensions,,,Edwin Abbott Abbott,"Abbott, Edwin Abbott",,,,,,Princeton University Press,,2005/09/01,2005,,,,Fiction,"In 1884, Edwin Abbott Abbott wrote a mathematical adventure set in a two-dimensional plane world, populated by a hierarchical society of regular geometrical figures-who think and speak and have all too human emotions. Since then Flatland has fascinated generations of readers, becoming a perennial science-fiction favorite. By imagining the contact of beings from different dimensions, the author fully exploited the power of the analogy between the limitations of humans and those of his two-dimensional characters.  A first-rate fictional guide to the concept of multiple dimensions of space, the book will also appeal to those who are interested in computer graphics. This field, which literally makes higher dimensions seeable, has aroused a new interest in visualization. We can now manipulate objects in four dimensions and observe their three-dimensional slices tumbling on the computer screen. But how do we interpret these images? In his introduction, Thomas Banchoff points out that there is no better way to begin exploring the problem of understanding higher-dimensional slicing phenomena than reading this classic novel of the Victorian era.",,,,,,,,,,,103,,,,,,English,,,,,,9780691123660,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/07 21:17:05.965384960,,,,,,,T8oy7tNVtqIC,B,0,,
Flatnessisgod,,"Art + Design + Process + Picture Plane Theory + X, Y",,,Ryan McGinness,"McGinness, Ryan",,,,,,RSUB,,,1999,,,,Art,"Flatnessisgod is about the basic practice of seeing and understanding how we construct and consume a picture plane. It is the graphic equivalent of the artist's book. Ryan McGinness subverts commercialism through oversaturating the eye with public domain imagery. Well respected and known throughout the commercial world, his clients include IBM, SEGA, Sire, MTV and Geffen. Contents include logo development, Graffiti tags, Art Haiku Alien Conspiracy Theories and Groundbreaking layouts.",,,,,,,,,,,253,,,,,,English,,,,,,9781887128346,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 11:13:58.707376956,,,,,,,vXFLAQAAIAAJ,Z,0,,
Flatterland,,"like Flatland, only more so",,,Ian Stewart,"Stewart, Ian",,,,,,Perseus Pub.,,2002/04/17,2002,,,,Fiction,"First there was Edwin A. Abbott's remarkable Flatland, published in 1884, and one of the all-time classics of popular mathematics. Now, from mathematician and accomplished science writer Ian Stewart, comes what Nature calls ""a superb sequel."" Through larger-than-life characters and an inspired story line, Flatterland explores our present understanding of the shape and origins of the universe, the nature of space, time, and matter, as well as modern geometries and their applications. The journey begins when our heroine, Victoria Line, comes upon her great-great-grandfather A. Square's diary, hidden in the attic. The writings help her to contact the Space Hopper, who tempts her away from her home and family in Flatland and becomes her guide and mentor through ten dimensions. In the tradition of Alice in Wonderland and The Phantom Toll Booth, this magnificent investigation into the nature of reality is destined to become a modern classic.",,,,,,,,,,,301,,,,,,English,,,,,,9780738206752,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/07 19:42:07.358870029,,A,,,,,8IruAAAAMAAJ,A,0,,
Foundations of Databases,,,,,"Serge Abiteboul, Richard Hull, Victor Vianu","Abiteboul, Serge",,,,,,Addison-Wesley,,,1995,,,,Computers,"Over the past two decades, the theory concerning the logical level of database management systems has matured and become an elegant and robust piece of science. Foundations of Databases presents indepth coverage of this theory and surveys several emerging topics. Written by three leading researchers, this advanced text presents a unifying and contemporary perspective on the field. A major effort in writing the book has been to highlight the intuitions behind the theoretical development.",,,,,,,,,,,685,,,,,,English,,,,,,9780201537710,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 09:16:50.455868005,,,,,,,HN9QAAAAMAAJ,P,0,,
Foundations of Galois Theory,,,,,M. M. Postnikov,"Postnikov, M. M.",,,,,,Courier Corporation,,2004/02/02,2004,,,,Mathematics,"The first part explores Galois theory, focusing on related concepts from field theory. The second part discusses the solution of equations by radicals, returning to the general theory of groups for relevant facts, examining equations solvable by radicals and their construction, and concludes with the unsolvability by radicals of the general equation of degree n is greater than 5. 1962 edition.",,,,,,,,,,,109,,,,,,English,,,,,,9780486435183,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 00:55:20.514425992,,,,,,,LIj0DQAAQBAJ,D,0,,
Founders at Work,,Stories of Startups' Early Days,,,Jessica Livingston,"Livingston, Jessica",,,,,,Apress,,2008/09/18,2008,,,,Business & Economics,"Now available in paperback—with a new preface and interview with Jessica Livingston about Y Combinator! Founders at Work: Stories of Startups’ Early Days is a collection of interviews with founders of famous technology companies about what happened in the very earliest days. These people are celebrities now. What was it like when they were just a couple friends with an idea? Founders like Steve Wozniak (Apple), Caterina Fake (Flickr), Mitch Kapor (Lotus), Max Levchin (PayPal), and Sabeer Bhatia (Hotmail) tell you in their own words about their surprising and often very funny discoveries as they learned how to build a company. Where did they get the ideas that made them rich? How did they convince investors to back them? What went wrong, and how did they recover? Nearly all technical people have thought of one day starting or working for a startup. For them, this book is the closest you can come to being a fly on the wall at a successful startup, to learn how it's done. But ultimately these interviews are required reading for anyone who wants to understand business, because startups are business reduced to its essence. The reason their founders become rich is that startups do what businesses do—create value—more intensively than almost any other part of the economy. How? What are the secrets that make successful startups so insanely productive? Read this book, and let the founders themselves tell you.",,,,,,,,,,,488,,,,,,English,,,,,,9781430210788,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 22:23:13.356075048,,,,,,,88rLmAEACAAJ,M,0,,
Franny and Zooey,,,,,J. D. Salinger,"Salinger, J. D.",,,,,,"Little, Brown",,,1991,,,,Short stories,"The author writes: Franny came out in The New Yorker/EM Zooey. Both stories are early, critical entries in a narrative series I'm doing about a family of settlers in twentieth-century New York, the Glasses. It is a long-term project, patently an ambitious one, and there is a real-enough danger, I suppose, that sooner or later I'll bog down, perhaps disappear entirely, in my own methods, locutions, and mannerisms. On the whole, though, I'm very hopeful. I love working on these Glass stories, I've been waiting for them most of my life, and I think I have fairly decent, monomaniacal plans to finish them with due care and all-available skill.",,,,,,,,,,,202,,,,,,English,,,,,,9780316769495,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 16:46:57.634758949,,,,,,,,G,0,http://images.amazon.com/images/P/0316769495.01Z.jpg,
